{name:'Stair_el7', position:{x:63.18, y:4.3, z:79.81}, rotation:{x:0, y:0.7639952, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el7.fbx'},
{name:'Rock_04', position:{x:73.21869, y:5.294924, z:98.79738}, rotation:{x:-0.2309292, y:0.7261968, z:-0.07988318}, scale:{x:0.7286443, y:0.7286444, z:0.7286444}, file:'Rock_04.fbx'},
{name:'Rock_02', position:{x:73.12453, y:2.903845, z:84.89567}, rotation:{x:-0.1906262, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_02.fbx'},
{name:'Crystal1', position:{x:74.02025, y:5.018944, z:96.85677}, rotation:{x:0.0672859, y:-0.5892065, z:0.1194303}, scale:{x:1, y:1, z:1}, file:'Crystal1.fbx'},
{name:'Crystal1', position:{x:77.0581, y:4.769909, z:94.86255}, rotation:{x:-0.0468334, y:-0.6389721, z:0.07331691}, scale:{x:1, y:1, z:1}, file:'Crystal1.fbx'},
{name:'Block1', position:{x:77.44855, y:3.198416, z:80.79225}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Block1.fbx'},
{name:'Rock_07', position:{x:58.90368, y:4.988098, z:92.32307}, rotation:{x:0.1183347, y:0.1270392, z:-0.04716057}, scale:{x:1, y:1, z:1}, file:'Rock_07.fbx'},
{name:'Block3', position:{x:68.83767, y:4.505215, z:103.035}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Block3.fbx'},
{name:'Plant_05', position:{x:67.10846, y:3.429193, z:96.95354}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Plant_05.fbx'},
{name:'Mushroom2B', position:{x:61.9293, y:3.463374, z:105.4311}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Mushroom2B.fbx'},
{name:'Rock_03', position:{x:72.38176, y:5.408159, z:99.84015}, rotation:{x:0.2152323, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_03.fbx'},
{name:'Fern1', position:{x:79.19819, y:3.148712, z:90.97133}, rotation:{x:-0.03488905, y:-0.4533167, z:0.02985975}, scale:{x:1.069844, y:1.069844, z:1.069844}, file:'Fern1.fbx'},
{name:'Fence1', position:{x:70.11834, y:3.405875, z:87.7085}, rotation:{x:0, y:0.3826835, z:0}, scale:{x:1, y:1, z:1}, file:'Fence1.fbx'},
{name:'Stair_el6', position:{x:66.71, y:3.5, z:57.89}, rotation:{x:0, y:0.9255019, z:0}, scale:{x:1, y:1, z:1}, file:'Stair_el6.fbx'},
{name:'Tree_Dead1', position:{x:82.58588, y:1.973998, z:90.54741}, rotation:{x:-0.03372036, y:-0.8027714, z:0.04560395}, scale:{x:1, y:1, z:1}, file:'Tree_Dead1.fbx'},
{name:'Tree_Pine_1', position:{x:89.12122, y:3.409858, z:85.02432}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Tree_Pine_1.fbx'},
{name:'Rock_17B', position:{x:75.61092, y:3.405387, z:91.69499}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Rock_17B.fbx'},
{name:'Bush_03', position:{x:44.93235, y:5.413786, z:132.3505}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_03.fbx'},
{name:'Bush_07', position:{x:90.30247, y:3.354398, z:81.50985}, rotation:{x:0, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Bush_07.fbx'},
{name:'Plant_07', position:{x:80.15394, y:2.43316, z:88.93951}, rotation:{x:0, y:0.797651, z:0}, scale:{x:1, y:1, z:1}, file:'Plant_07.fbx'},
{name:'Sparks', position:{x:69.50364, y:8.722502, z:106.3744}, rotation:{x:-0.7071068, y:0, z:0}, scale:{x:1, y:1, z:1}, file:'Sparks.fbx'},
{name:'Swirling_Petals', position:{x:71.30707, y:8.362472, z:81.2}, rotation:{x:-0.7032332, y:0.07391278, z:0.07391278}, scale:{x:1, y:1, z:1}, file:'Swirling_Petals.fbx'},
{name:'RigRUpWing03Gizmo', position:{x:71.60867, y:9.471382, z:81.05865}, rotation:{x:-0.1628699, y:0.639195, z:0.688094}, scale:{x:1, y:1, z:1}, file:'RigRUpWing03Gizmo.fbx'},
{name:'RigRUpWing02Gizmo', position:{x:71.45135, y:9.342834, z:81.09209}, rotation:{x:-0.1628699, y:0.639195, z:0.688094}, scale:{x:1, y:1, z:1}, file:'RigRUpWing02Gizmo.fbx'},
{name:'RigRUpWing01Gizmo', position:{x:71.3026, y:9.22129, z:81.12372}, rotation:{x:-0.1628699, y:0.639195, z:0.688094}, scale:{x:1, y:1, z:1}, file:'RigRUpWing01Gizmo.fbx'},
{name:'RigRLegPlatform', position:{x:71.36787, y:8.26, z:81.22824}, rotation:{x:0.4449968, y:-0.4449968, z:-0.5495251}, scale:{x:1, y:1, z:1}, file:'RigRLegPlatform.fbx'},
{name:'RigRibcageGizmo', position:{x:71.30707, y:9.165751, z:81.2}, rotation:{x:0.4449968, y:-0.4449968, z:-0.5495251}, scale:{x:1, y:1, z:1}, file:'RigRibcageGizmo.fbx'},
{name:'RigRDownWing3Gizmo', position:{x:71.56301, y:9.067695, z:81.06836}, rotation:{x:0.2387103, y:0.7006813, z:0.6655957}, scale:{x:1, y:1, z:1}, file:'RigRDownWing3Gizmo.fbx'},
{name:'RigRDownWing2Gizmo', position:{x:71.42821, y:9.139311, z:81.09702}, rotation:{x:0.2387103, y:0.7006813, z:0.6655957}, scale:{x:1, y:1, z:1}, file:'RigRDownWing2Gizmo.fbx'},
{name:'RigRDownWing1Gizmo', position:{x:71.3034, y:9.205624, z:81.12354}, rotation:{x:0.2387103, y:0.7006813, z:0.6655957}, scale:{x:1, y:1, z:1}, file:'RigRDownWing1Gizmo.fbx'},
{name:'RigRArmThumb2Gizmo', position:{x:71.72832, y:9.199834, z:81.13911}, rotation:{x:0.005911909, y:0.9201598, z:-0.03641741}, scale:{x:0.9999992, y:0.9999998, z:1.000001}, file:'RigRArmThumb2Gizmo.fbx'},
{name:'RigRArmThumb1Gizmo', position:{x:71.71625, y:9.199046, z:81.12496}, rotation:{x:-0.004695729, y:0.9070457, z:-0.04034924}, scale:{x:0.9999993, y:0.9999998, z:1.000001}, file:'RigRArmThumb1Gizmo.fbx'},
{name:'RigRArmRest3Gizmo', position:{x:71.77878, y:9.199679, z:81.07967}, rotation:{x:0.01021314, y:0.9954535, z:-0.002692719}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmRest3Gizmo.fbx'},
{name:'RigRArmRest2Gizmo', position:{x:71.76366, y:9.200001, z:81.08257}, rotation:{x:0.01021314, y:0.9954535, z:-0.002692719}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmRest2Gizmo.fbx'},
{name:'RigRArmRest1Gizmo', position:{x:71.74855, y:9.200321, z:81.08546}, rotation:{x:0.01021314, y:0.9954535, z:-0.002692719}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmRest1Gizmo.fbx'},
{name:'RigRArmPalmGizmo', position:{x:71.68254, y:9.19852, z:81.10556}, rotation:{x:0.01021314, y:0.9954535, z:-0.002692719}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmPalmGizmo.fbx'},
{name:'RigRArmIndex3Gizmo', position:{x:71.78444, y:9.200114, z:81.10245}, rotation:{x:0.01019855, y:0.9949304, z:-0.00274617}, scale:{x:1, y:0.9999999, z:1}, file:'RigRArmIndex3Gizmo.fbx'},
{name:'RigRArmIndex2Gizmo', position:{x:71.76792, y:9.200745, z:81.10616}, rotation:{x:0.01839051, y:0.9937406, z:-0.00311289}, scale:{x:0.9999999, y:0.9999999, z:1}, file:'RigRArmIndex2Gizmo.fbx'},
{name:'RigRArmIndex1Gizmo', position:{x:71.7525, y:9.201077, z:81.10911}, rotation:{x:0.01033776, y:0.9954636, z:-0.002704319}, scale:{x:1, y:1, z:1}, file:'RigRArmIndex1Gizmo.fbx'},
{name:'RigRArm2Gizmo', position:{x:71.53446, y:9.197538, z:81.13232}, rotation:{x:0.06034329, y:0.709417, z:0.6991021}, scale:{x:1, y:1, z:1}, file:'RigRArm2Gizmo.fbx'},
{name:'RigRArm1Gizmo', position:{x:71.37683, y:9.196066, z:81.16958}, rotation:{x:0.07832412, y:0.7049103, z:0.699768}, scale:{x:1, y:1, z:1}, file:'RigRArm1Gizmo.fbx'},
{name:'RigPelvisGizmo', position:{x:71.30707, y:8.948057, z:81.2}, rotation:{x:0.4449968, y:-0.4449968, z:-0.5495251}, scale:{x:1, y:1, z:1}, file:'RigPelvisGizmo.fbx'},
{name:'RigRUpWing03', position:{x:71.60867, y:9.471382, z:81.05865}, rotation:{x:0.16287, y:-0.6391949, z:-0.6880941}, scale:{x:1, y:1, z:1}, file:'RigRUpWing03.fbx'},
{name:'RigRUpWing02', position:{x:71.45135, y:9.342834, z:81.09209}, rotation:{x:0.16287, y:-0.6391949, z:-0.6880941}, scale:{x:1, y:1, z:1}, file:'RigRUpWing02.fbx'},
{name:'RigRUpWing01', position:{x:71.3026, y:9.22129, z:81.12372}, rotation:{x:0.16287, y:-0.6391949, z:-0.6880941}, scale:{x:1, y:1, z:1}, file:'RigRUpWing01.fbx'},
{name:'RigRDownWing3', position:{x:71.56301, y:9.067695, z:81.06836}, rotation:{x:-0.2387103, y:-0.7006812, z:-0.6655957}, scale:{x:1, y:1, z:1}, file:'RigRDownWing3.fbx'},
{name:'RigRDownWing2', position:{x:71.42821, y:9.139311, z:81.09702}, rotation:{x:-0.2387103, y:-0.7006812, z:-0.6655957}, scale:{x:1, y:1, z:1}, file:'RigRDownWing2.fbx'},
{name:'RigRDownWing1', position:{x:71.3034, y:9.205624, z:81.12354}, rotation:{x:-0.2387103, y:-0.7006812, z:-0.6655957}, scale:{x:1, y:1, z:1}, file:'RigRDownWing1.fbx'},
{name:'RigRArmThumb2', position:{x:71.72832, y:9.199834, z:81.13911}, rotation:{x:-0.00590747, y:-0.9201602, z:0.03641346}, scale:{x:0.9999985, y:0.9999996, z:1.000002}, file:'RigRArmThumb2.fbx'},
{name:'RigRArmThumb1', position:{x:71.71625, y:9.199046, z:81.12496}, rotation:{x:0.004698868, y:-0.9070461, z:0.04034517}, scale:{x:0.9999986, y:0.9999996, z:1.000002}, file:'RigRArmThumb1.fbx'},
{name:'RigRArmRest3', position:{x:71.77878, y:9.199679, z:81.07967}, rotation:{x:-0.01021368, y:-0.9954535, z:0.002688635}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmRest3.fbx'},
{name:'RigRArmRest2', position:{x:71.76366, y:9.200001, z:81.08257}, rotation:{x:-0.01021348, y:-0.9954536, z:0.002689992}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmRest2.fbx'},
{name:'RigRArmRest1', position:{x:71.74855, y:9.200321, z:81.08546}, rotation:{x:-0.0102133, y:-0.9954536, z:0.002691262}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmRest1.fbx'},
{name:'RigRArmIndex3', position:{x:71.78444, y:9.200114, z:81.10245}, rotation:{x:-0.0101981, y:-0.9949306, z:0.002750376}, scale:{x:0.9999999, y:0.9999999, z:1}, file:'RigRArmIndex3.fbx'},
{name:'RigRArmIndex2', position:{x:71.76792, y:9.200745, z:81.10616}, rotation:{x:-0.01839021, y:-0.9937407, z:0.003115636}, scale:{x:0.9999998, y:0.9999999, z:1}, file:'RigRArmIndex2.fbx'},
{name:'RigRArmIndex1', position:{x:71.7525, y:9.201077, z:81.10911}, rotation:{x:-0.01033768, y:-0.9954637, z:0.002705683}, scale:{x:1, y:1, z:0.9999999}, file:'RigRArmIndex1.fbx'},
{name:'RigRArmPalm', position:{x:71.68254, y:9.19852, z:81.10556}, rotation:{x:-0.01021315, y:-0.9954537, z:0.002692564}, scale:{x:0.9999999, y:1, z:1}, file:'RigRArmPalm.fbx'},
{name:'RigRArm2', position:{x:71.53446, y:9.197538, z:81.13232}, rotation:{x:-0.0603433, y:-0.709417, z:-0.6991022}, scale:{x:0.9999999, y:1, z:0.9999999}, file:'RigRArm2.fbx'},
{name:'RigRArm1', position:{x:71.37683, y:9.196066, z:81.16958}, rotation:{x:-0.07832413, y:-0.7049102, z:-0.6997681}, scale:{x:1, y:1, z:1}, file:'RigRArm1.fbx'},
{name:'RigRArmCollarbone', position:{x:71.33056, y:9.194792, z:81.23779}, rotation:{x:-0.3240798, y:-0.6263016, z:-0.623233}, scale:{x:1, y:0.9999999, z:1}, file:'RigRArmCollarbone.fbx'},
{name:'RigHair10', position:{x:71.21548, y:9.779634, z:80.84255}, rotation:{x:0.03711492, y:-0.8874478, z:-0.1711702}, scale:{x:0.9999965, y:1.000004, z:0.9999999}, file:'RigHair10.fbx'},
{name:'RigHair9', position:{x:71.2178, y:9.750734, z:80.89571}, rotation:{x:0.1873938, y:-0.6744542, z:-0.1614156}, scale:{x:0.9999958, y:1.000004, z:1}, file:'RigHair9.fbx'},
{name:'RigHair8', position:{x:71.24343, y:9.697692, z:80.93929}, rotation:{x:0.4354949, y:-0.5404955, z:-0.1816078}, scale:{x:0.9999982, y:1.000002, z:0.9999997}, file:'RigHair8.fbx'},
{name:'RigHair7', position:{x:71.29386, y:9.653818, z:80.9591}, rotation:{x:0.5747013, y:-0.3300276, z:-0.1714766}, scale:{x:1.000001, y:0.9999998, z:0.9999995}, file:'RigHair7.fbx'},
{name:'RigHair6', position:{x:71.30909, y:9.582858, z:80.97138}, rotation:{x:0.2084082, y:-0.2699223, z:-0.5689353}, scale:{x:0.9999998, y:1, z:1}, file:'RigHair6.fbx'},
{name:'RigHair5', position:{x:71.32639, y:9.530996, z:81.02628}, rotation:{x:-0.04055376, y:-0.4301979, z:-0.4508938}, scale:{x:0.9999998, y:1, z:1}, file:'RigHair5.fbx'},
{name:'RigHair4', position:{x:71.3103, y:9.519653, z:81.09428}, rotation:{x:-0.0875659, y:-0.746765, z:-0.2364215}, scale:{x:1, y:1, z:1}, file:'RigHair4.fbx'},
{name:'RigHair3', position:{x:71.30121, y:9.496049, z:81.12473}, rotation:{x:0.09662873, y:-0.6870485, z:-0.3779952}, scale:{x:0.9999999, y:1, z:1}, file:'RigHair3.fbx'},
{name:'RigHair2', position:{x:71.29622, y:9.463733, z:81.14894}, rotation:{x:0.1913984, y:-0.6033106, z:-0.444251}, scale:{x:1, y:0.9999999, z:1}, file:'RigHair2.fbx'},
{name:'RigHair1', position:{x:71.30209, y:9.426041, z:81.17657}, rotation:{x:0.2815735, y:-0.562815, z:-0.3477142}, scale:{x:1, y:1, z:1}, file:'RigHair1.fbx'},
{name:'RigHead', position:{x:71.30707, y:9.365434, z:81.2}, rotation:{x:0.4449968, y:-0.4449968, z:-0.5495251}, scale:{x:1, y:1, z:1}, file:'RigHead.fbx'},
{name:'RigNeck', position:{x:71.30707, y:9.230247, z:81.2}, rotation:{x:0.4449968, y:-0.4449968, z:-0.5495251}, scale:{x:1, y:1, z:1}, file:'RigNeck.fbx'},
{name:'RigLUpWing03', position:{x:70.97405, y:9.471382, z:81.19355}, rotation:{x:0.6391951, y:-0.16287, z:-0.3023735}, scale:{x:1, y:1, z:1}, file:'RigLUpWing03.fbx'},
{name:'RigLUpWing02', position:{x:71.13138, y:9.342834, z:81.16011}, rotation:{x:0.6391951, y:-0.16287, z:-0.3023735}, scale:{x:1, y:1, z:1}, file:'RigLUpWing02.fbx'},
{name:'RigLUpWing01', position:{x:71.28013, y:9.22129, z:81.12849}, rotation:{x:0.6391951, y:-0.16287, z:-0.3023735}, scale:{x:1, y:1, z:1}, file:'RigLUpWing01.fbx'},
{name:'RigLDownWing03', position:{x:71.01971, y:9.067695, z:81.18385}, rotation:{x:0.7006814, y:0.2387102, z:0.09510893}, scale:{x:1, y:1, z:1}, file:'RigLDownWing03.fbx'},
{name:'RigLDownWing02', position:{x:71.15451, y:9.139311, z:81.15519}, rotation:{x:0.7006814, y:0.2387102, z:0.09510893}, scale:{x:1, y:1, z:1}, file:'RigLDownWing02.fbx'},
{name:'RigLDownWing01', position:{x:71.27933, y:9.205624, z:81.12866}, rotation:{x:0.7006814, y:0.2387102, z:0.09510893}, scale:{x:1, y:1, z:1}, file:'RigLDownWing01.fbx'},
{name:'RigLArmThumb2', position:{x:70.89746, y:9.199834, z:81.31571}, rotation:{x:-0.03439396, y:0.5725946, z:0.01335978}, scale:{x:1.000002, y:1, z:0.9999984}, file:'RigLArmThumb2.fbx'},
{name:'RigLArmThumb1', position:{x:70.90274, y:9.199046, z:81.29788}, rotation:{x:-0.04044559, y:0.5984956, z:0.003800247}, scale:{x:1.000001, y:1, z:0.9999985}, file:'RigLArmThumb1.fbx'},
